10,26.89
20,22.14
30,13.68
40,23.46
50,75.94
60,82.70
70,127.76
10,13.68
20,33.88
30,77.07
40,32.17
50,138.90
60,50.87
70,74.01
80,125.62
90,248.47
100,228.56
110,281.02
120,352.34
130,460.52
140,488.86
150,672.49
160,757.59
170,797.52
180,939.65
190,1100.48
200,1280.15
210,1451.52
220,1720.55
230,1762.70
240,2040.50
250,2153.19
260,2468.55
270,2593.60
280,2822.98
290,2963.31
300,3437.41
310,3630.61
320,3831.36
330,3945.44
340,4271.57
350,4815.11
360,4934.98
370,5458.34
380,5537.71
390,6167.12
400,6148.89
