10,40.89
20,9.35
30,87.93
40,21.60
50,90.90
60,102.17
70,130.41
80,143.34
90,241.17
100,227.44
110,334.53
120,311.50
130,448.58
140,498.31
150,655.33
160,731.42
170,905.30
180,944.84
190,1153.93
200,1231.50
210,1415.80
220,1648.95
230,1790.72
240,1986.92
250,2143.15
260,2354.45
270,2658.30
280,2800.99
290,2937.91
300,3250.98
310,3539.39
320,3848.68
330,4030.59
340,4365.03
350,4586.72
360,5140.50
370,5159.56
380,5647.47
390,5661.14
400,6181.93
400,1704.04
100,48.04
100,45.33
100,365.29
100,246.06
